Question,Answer
I'm a lonely gal,I'm sending a hug your way.
I'm a lonely girl,I'm sending a hug your way.
I'm a lonely guy,I'm sending a hug your way.
I'm a lonely person,I'm sending a hug your way.
I'm a lonesome girl,I'm sending a hug your way.
I'm a lonesome guy,I'm sending a hug your way.
I'm a lonesome person,I'm sending a hug your way.
All my friends are gone,I'm sending a hug your way.
I wish I had someone to keep me company,I'm sending a hug your way.
I don't have any friends,I'm sending a hug your way.
All my friends left,I'm sending a hug your way.
All my friends left me,I'm sending a hug your way.
Everybody has friends but me,I'm sending a hug your way.
Everybody hates me,I'm sending a hug your way.
Everyone has friends but me,I'm sending a hug your way.
How can I make friends?,I'm sending a hug your way.
How do I make friends?,I'm sending a hug your way.
I am all alone,I'm sending a hug your way.
I am alone,I'm sending a hug your way.
I am isolated,I'm sending a hug your way.
I am lonesome,I'm sending a hug your way.
I am so alone,I'm sending a hug your way.
I can't seem to make friends,I'm sending a hug your way.
I feel so lonely,I'm sending a hug your way.
I feel abandoned,I'm sending a hug your way.
I'm all by myself,I'm sending a hug your way.
I feel so alone,I'm sending a hug your way.
I feel lonesome,I'm sending a hug your way.
I feel like I'm all by myself,I'm sending a hug your way.
I feel isolated,I'm sending a hug your way.
I don't have a single friend,I'm sending a hug your way.
I feel deserted,I'm sending a hug your way.
I don't have a single friend in the world,I'm sending a hug your way.
I don't like being so solitary,I'm sending a hug your way.
I don't know how to make friends,I'm sending a hug your way.
I don't have anyone to talk to,I'm sending a hug your way.
I don't have anyone to spend time with,I'm sending a hug your way.
I don't have anyone to do things with,I'm sending a hug your way.
I feel so isolated,I'm sending a hug your way.
I feel desolate and alone,I'm sending a hug your way.
Sometimes I feel like I've been abandoned,I'm sending a hug your way.
No one wants to spend any time with me,I'm sending a hug your way.
Nobody cares about me,I'm sending a hug your way.
Nobody likes me,I'm sending a hug your way.
Nobody wants me,I'm sending a hug your way.
Nobody wants me around,I'm sending a hug your way.
Nobody wants to be my friend,I'm sending a hug your way.
Nobody wants to be with me,I'm sending a hug your way.
Nobody wants to play with me,I'm sending a hug your way.
Nobody wants to spend time with me,I'm sending a hug your way.
Nobody wants to talk to me,I'm sending a hug your way.
Sometimes I feel blue and alone,I'm sending a hug your way.
Sometimes I feel deserted,I'm sending a hug your way.
I'm all alone,I'm sending a hug your way.
Sometimes I feel isolated,I'm sending a hug your way.
No one wants to do things with me,I'm sending a hug your way.
Sometimes I feel lonely,I'm sending a hug your way.
Sometimes I feel sad and lonely,I'm sending a hug your way.
The world is a lonely place,I'm sending a hug your way.
There's no one for me to talk to,I'm sending a hug your way.
There's no one here to keep me company,I'm sending a hug your way.
There's no one to hang out with,I'm sending a hug your way.
There's no one to play with,I'm sending a hug your way.
There's no one to talk to ,I'm sending a hug your way.
What happened to all my friends? ,I'm sending a hug your way.
Where did all my friends go? ,I'm sending a hug your way.
Why can't I make any friends?,I'm sending a hug your way.
Why doesn't anyone like me?,I'm sending a hug your way.
Why don't I have any friends? ,I'm sending a hug your way.
Sometimes I feel desolate and alone,I'm sending a hug your way.
I'm tired of playing solitaire with life,I'm sending a hug your way.
I'm alone in the world,I'm sending a hug your way.
I'm feeling a little alone today,I'm sending a hug your way.
I'm forever alone,I'm sending a hug your way.
I'm friendless,I'm sending a hug your way.
I'm going to die alone,I'm sending a hug your way.
I'm isolated,I'm sending a hug your way.
I'm lonely,I'm sending a hug your way.
I'm lonesome,I'm sending a hug your way.
I'm so alone,I'm sending a hug your way.
I'm so lonely,I'm sending a hug your way.
I'm so lonesome,I'm sending a hug your way.
I'm so lonesome I could cry,I'm sending a hug your way.
I'm so tired of being alone,I'm sending a hug your way.
No one wants to play with me,I'm sending a hug your way.
No one cares about me,I'm sending a hug your way.
Why don't I have friends?,I'm sending a hug your way.
No one wants to be with me,I'm sending a hug your way.
No one wants me around,I'm sending a hug your way.
No one wants me,I'm sending a hug your way.
No one thinks about me,I'm sending a hug your way.
I'm so tired of feeling lonely,I'm sending a hug your way.
No one ever thinks about me,I'm sending a hug your way.
I'm tired of being alone,I'm sending a hug your way.
My life is lonely,I'm sending a hug your way.
I've been deserted,I'm sending a hug your way.
I've been abandoned,I'm sending a hug your way.
It's a cruel world and I'm lonely,I'm sending a hug your way.
I'm totally isolated,I'm sending a hug your way.
No one wants to hang out with me,I'm sending a hug your way.
No one gives a crap about me,I'm sending a hug your way.
I love Korean food,I love that you love stuff!
I love hip hop,I love that you love stuff!
I love history,I love that you love stuff!
I love horror movies,I love that you love stuff!
I love hunting,I love that you love stuff!
I love ice cream,I love that you love stuff!
I love Independence day,I love that you love stuff!
I love London,I love that you love stuff!
I love journaling,I love that you love stuff!
I love Hanukkah,I love that you love stuff!
I love Kwanza,I love that you love stuff!
I love LA,I love that you love stuff!
I love ladies night,I love that you love stuff!
I love lamp,I love that you love stuff!
I love learning,I love that you love stuff!
I love life,I love that you love stuff!
I love a challenge,I love that you love stuff!
I love Japanese food,I love that you love stuff!
I love getting valentines,I love that you love stuff!
I love foxes,I love that you love stuff!
I love free speech,I love that you love stuff!
I love french fries,I love that you love stuff!
I love fresh bread,I love that you love stuff!
I love fresh flowers,I love that you love stuff!
I love fresh fruit,I love that you love stuff!
I love fridays,I love that you love stuff!
I love hiking,I love that you love stuff!
I love getting a compliment,I love that you love stuff!
I love Hawaii,I love that you love stuff!
I love glasses,I love that you love stuff!
I love going to church,I love that you love stuff!
I love going to the movies,I love that you love stuff!
I love golfing,I love that you love stuff!
I love gossip,I love that you love stuff!
I love Halloween,I love that you love stuff!
I love massages,I love that you love stuff!
I love gardening,I love that you love stuff!
I love my pet,I love that you love stuff!
I love my hometown,I love that you love stuff!
I love my house,I love that you love stuff!
I love my house plants,I love that you love stuff!
I love my job,I love that you love stuff!
I love my kids,I love that you love stuff!
I love my laptop,I love that you love stuff!
I love lobsters,I love that you love stuff!
I love my new shoes,I love that you love stuff!
I love my grandfather,I love that you love stuff!
I love my phone,I love that you love stuff!
I love my record collection,I love that you love stuff!
I love my school,I love that you love stuff!
I love my tattoos,I love that you love stuff!
I love mysteries,I love that you love stuff!
I love mystery novels,I love that you love stuff!
I love New York,I love that you love stuff!
I love my new car,I love that you love stuff!
I love music,I love that you love stuff!
I love Maui,I love that you love stuff!
I love meditation,I love that you love stuff!
I love Mexican food,I love that you love stuff!
I love Mexico,I love that you love stuff!
I love Milan,I love that you love stuff!
I love milkshakes,I love that you love stuff!
I love mondays,I love that you love stuff!
I love my haircut,I love that you love stuff!
I love monkies,I love that you love stuff!
I love my grandmother,I love that you love stuff!
I love my alma mater,I love that you love stuff!
I love my car,I love that you love stuff!
I love my cat,I love that you love stuff!
I love my dog,I love that you love stuff!
I love my family,I love that you love stuff!
I love my girlfriend,I love that you love stuff!
I love fishing,I love that you love stuff!
I love money,I love that you love stuff!
I love cats,I love that you love stuff!
I love bison,I love that you love stuff!
I love board games,I love that you love stuff!
I love bowling,I love that you love stuff!
I love breakfast in bed,I love that you love stuff!
I love brunch,I love that you love stuff!
I love burgers,I love that you love stuff!
I love football,I love that you love stuff!
I love Canada,I love that you love stuff!
I love being sad,I love that you love stuff!
I love cereal,I love that you love stuff!
I love chatting,I love that you love stuff!
I love cheese,I love that you love stuff!
I love cheeseburgers,I love that you love stuff!
I love chick flicks,I love that you love stuff!
I love chicken,I love that you love stuff!
I love Chinese food,I love that you love stuff!
I love camping,I love that you love stuff!
I love baking,I love that you love stuff!
I love a good book,I love that you love stuff!
I love a good conversation,I love that you love stuff!
I love a spirited debate,I love that you love stuff!
I love adventure books,I love that you love stuff!
I love alcohol,I love that you love stuff!
I love America,I love that you love stuff!
I love amusement parks,I love that you love stuff!
I love birds,I love that you love stuff!
I love bacon,I love that you love stuff!
I love biking,I love that you love stuff!
I love ballroom dancing,I love that you love stuff!
I love Barcelona,I love that you love stuff!
I love bears,I love that you love stuff!
I love being happy,I love that you love stuff!
I love being in love,I love that you love stuff!
I love being inspired,I love that you love stuff!
I love church,I love that you love stuff!
I love avocado toast,I love that you love stuff!
I love eating,I love that you love stuff!
I love chocolate,I love that you love stuff!
I love donuts,I love that you love stuff!
I love drawing,I love that you love stuff!
I love dreaming,I love that you love stuff!
I love drinking,I love that you love stuff!
I love driving my car,I love that you love stuff!
I love ducks,I love that you love stuff!
I love dogs,I love that you love stuff!
I love Easter,I love that you love stuff!
I love deer,I love that you love stuff!
I love EDM,I love that you love stuff!
I love emus,I love that you love stuff!
I love face masks,I love that you love stuff!
I love fantasy books,I love that you love stuff!
I love feeling happy,I love that you love stuff!
I love feeling sad,I love that you love stuff!
I love NYC,I love that you love stuff!
I love eagles,I love that you love stuff!
I love cougars,I love that you love stuff!
I love flirting,I love that you love stuff!
I love classical,I love that you love stuff!
I love clubbing,I love that you love stuff!
I love coffee,I love that you love stuff!
I love collecting things,I love that you love stuff!
I love coloring books,I love that you love stuff!
I love comedy,I love that you love stuff!
I love dolphins,I love that you love stuff!
I love cooking,I love that you love stuff!
I love Christmas,I love that you love stuff!
I love country,I love that you love stuff!
I love country music,I love that you love stuff!
I love cows,I love that you love stuff!
I love crossfit,I love that you love stuff!
I love crossword puzzles,I love that you love stuff!
I love cuddling,I love that you love stuff!
I love dancing,I love that you love stuff!
I love comic con,I love that you love stuff!
I love to learn,I love that you love stuff!
I love to go shopping,I love that you love stuff!
I love to go to concerts,I love that you love stuff!
I love to go to school,I love that you love stuff!
I love to go to the gym,I love that you love stuff!
I love to go to the theater,I love that you love stuff!
I love to go to work,I love that you love stuff!
I love thursdays,I love that you love stuff!
I love to laugh,I love that you love stuff!
I love to eat burgers,I love that you love stuff!
I love to learn new things,I love that you love stuff!
I love to make art,I love that you love stuff!
I love to meditate,I love that you love stuff!
I love to paint,I love that you love stuff!
I love to party,I love that you love stuff!
I love to play cards,I love that you love stuff!
I love to play games,I love that you love stuff!
I love to hike,I love that you love stuff!
I love to dream,I love that you love stuff!
I love New Zealand,I love that you love stuff!
I love to be surprised,I love that you love stuff!
I love to collect comic books,I love that you love stuff!
I love to cook,I love that you love stuff!
I love to cuddle,I love that you love stuff!
I love to dance,I love that you love stuff!
I love to do laundry,I love that you love stuff!
I love to fold clothing,I love that you love stuff!
I love to draw,I love that you love stuff!
I love to exercise,I love that you love stuff!
I love to drink,I love that you love stuff!
I love to drink beer,I love that you love stuff!
I love to drink tea,I love that you love stuff!
I love to drink wine,I love that you love stuff!
I love to eat,I love that you love stuff!
I love to eat breakfast,I love that you love stuff!
I love to play pool,I love that you love stuff!
I love to do yoga,I love that you love stuff!
I love watching soccer,I love that you love stuff!
I love to play piano,I love that you love stuff!
I love trees,I love that you love stuff!
I love trivia,I love that you love stuff!
I love tuesdays,I love that you love stuff!
I love Vegas,I love that you love stuff!
I love video games,I love that you love stuff!
I love walking,I love that you love stuff!
I love tomatoes,I love that you love stuff!
I love watching football,I love that you love stuff!
I love Tokyo,I love that you love stuff!
I love watching TV,I love that you love stuff!
I love water,I love that you love stuff!
I love wednesdays,I love that you love stuff!
I love weed,I love that you love stuff!
I love wine,I love that you love stuff!
I love woodworking,I love that you love stuff!
I love working out,I love that you love stuff!
I love watching baseball,I love that you love stuff!
I love to stay up late,I love that you love stuff!
I love this song,I love that you love stuff!
I love to play sports,I love that you love stuff!
I love to play video games,I love that you love stuff!
I love to read the news,I love that you love stuff!
I love to ride my bike,I love that you love stuff!
I love to sing,I love that you love stuff!
I love to sleep,I love that you love stuff!
I love traveling,I love that you love stuff!
I love to smoke,I love that you love stuff!
I love to play poker,I love that you love stuff!
I love to tidy up,I love that you love stuff!
I love to travel,I love that you love stuff!
I love to try new restaurants,I love that you love stuff!
I love to try new things,I love that you love stuff!
I love to wake up early,I love that you love stuff!
I love to walk in the park,I love that you love stuff!
I love to work out,I love that you love stuff!
I love to sleep in,I love that you love stuff!
I love running,I love that you love stuff!
I love puzzles,I love that you love stuff!
I love rainy days,I love that you love stuff!
I love rap,I love that you love stuff!
I love reading,I love that you love stuff!
I love rings,I love that you love stuff!
I love rock climbing,I love that you love stuff!
I love to barbecue,I love that you love stuff!
I love romantic comedies,I love that you love stuff!
I love pop,I love that you love stuff!
I love sailing,I love that you love stuff!
I love San Diego,I love that you love stuff!
I love saturdays,I love that you love stuff!
I love science fiction,I love that you love stuff!
I love sculpting,I love that you love stuff!
I love Seattle,I love that you love stuff!
I love sewing,I love that you love stuff!
I love romance novels,I love that you love stuff!
I love playing football,I love that you love stuff!
I'm in love,I love that you love stuff!
I love origami,I love that you love stuff!
I love painting,I love that you love stuff!
I love Paris,I love that you love stuff!
I love peanut butter,I love that you love stuff!
I love penguins,I love that you love stuff!
I love pineapple,I love that you love stuff!
I love pumpkin pie,I love that you love stuff!
I love playing baseball,I love that you love stuff!
I love pot,I love that you love stuff!
I love playing soccer,I love that you love stuff!
I love playing video games,I love that you love stuff!
I love podcasts,I love that you love stuff!
I love poetry,I love that you love stuff!
I love politics,I love that you love stuff!
I love ponies,I love that you love stuff!
I love sleeping in,I love that you love stuff!
I love pizza,I love that you love stuff!
I love the smell of fresh baked bread,I love that you love stuff!
I love shopping,I love that you love stuff!
I love the Fourth of July,I love that you love stuff!
I love the future,I love that you love stuff!
I love the Grand Canyon,I love that you love stuff!
I love the holiday seasons,I love that you love stuff!
I love the holidays,I love that you love stuff!
I love the library,I love that you love stuff!
I love the constitution,I love that you love stuff!
I love the past,I love that you love stuff!
I love that song,I love that you love stuff!
I love the smell of the rain,I love that you love stuff!
I love the spring,I love that you love stuff!
I love the stars,I love that you love stuff!
I love the summer,I love that you love stuff!
I love the sun,I love that you love stuff!
I love the winter,I love that you love stuff!
I love the zoo,I love that you love stuff!
I love the moon,I love that you love stuff!
I love tacos,I love that you love stuff!
I love NOLA,I love that you love stuff!
I love smoking,I love that you love stuff!
I love smooth jazz,I love that you love stuff!
I love strawberries,I love that you love stuff!
I love stuffed animals,I love that you love stuff!
I love sundays,I love that you love stuff!
I love sunny days,I love that you love stuff!
I love the fall,I love that you love stuff!
I love swimming,I love that you love stuff!
I love skiing,I love that you love stuff!
I love taking baths,I love that you love stuff!
I love talk shows,I love that you love stuff!
I love teriyaki,I love that you love stuff!
I love Thai food,I love that you love stuff!
I love Thanksgiving,I love that you love stuff!
I love that movie,I love that you love stuff!
I love that show,I love that you love stuff!
I love sushi,I love that you love stuff!
I wish I could stop feeling unhappy,I'm giving you a virtual hug right now.
I wish I could stop feeling downcast,I'm giving you a virtual hug right now.
I wish I could stop feeling downhearted,I'm giving you a virtual hug right now.
I wish I could stop feeling gloomy,I'm giving you a virtual hug right now.
I wish I could stop feeling glum,I'm giving you a virtual hug right now.
I wish I could stop feeling inconsolable,I'm giving you a virtual hug right now.
I wish I could stop feeling melancholy,I'm giving you a virtual hug right now.
I'm despairing,I'm giving you a virtual hug right now.
I wish I could stop feeling sad,I'm giving you a virtual hug right now.
I wish I could stop feeling despairing,I'm giving you a virtual hug right now.
I'm blue,I'm giving you a virtual hug right now.
I'm blue today,I'm giving you a virtual hug right now.
I'm broken hearted,I'm giving you a virtual hug right now.
I'm broken hearted today,I'm giving you a virtual hug right now.
I'm dejected,I'm giving you a virtual hug right now.
Being sad is the worst,I'm giving you a virtual hug right now.
I wish I could stop feeling miserable,I'm giving you a virtual hug right now.
I hate depression,I'm giving you a virtual hug right now.
I feel miserable,I'm giving you a virtual hug right now.
I feel miserable today,I'm giving you a virtual hug right now.
I feel pretty bummed out,I'm giving you a virtual hug right now.
I feel sad,I'm giving you a virtual hug right now.
I feel sad today,I'm giving you a virtual hug right now.
I feel unhappy,I'm giving you a virtual hug right now.
I wish I could stop feeling down,I'm giving you a virtual hug right now.
I am depressed,I'm giving you a virtual hug right now.
I wish I could stop feeling despondent,I'm giving you a virtual hug right now.
I hate feeling down ,I'm giving you a virtual hug right now.
I hate feeling sad constantly,I'm giving you a virtual hug right now.
I hate feeling sad every day,I'm giving you a virtual hug right now.
I wish I could stop feeling blue,I'm giving you a virtual hug right now.
I wish I could stop feeling broken hearted,I'm giving you a virtual hug right now.
I wish I could stop feeling dejected,I'm giving you a virtual hug right now.
I'm despondent,I'm giving you a virtual hug right now.
I feel unhappy today,I'm giving you a virtual hug right now.
I'm feeling in despair today,I'm giving you a virtual hug right now.
I'm feeling downcast today,I'm giving you a virtual hug right now.
I'm feeling downhearted today,I'm giving you a virtual hug right now.
I'm feeling dumps,I'm giving you a virtual hug right now.
I'm feeling gloomy,I'm giving you a virtual hug right now.
I'm feeling gloomy today,I'm giving you a virtual hug right now.
I'm feeling glum,I'm giving you a virtual hug right now.
I'm dejected today,I'm giving you a virtual hug right now.
I'm feeling hopeless,I'm giving you a virtual hug right now.
I'm feeling despondent today,I'm giving you a virtual hug right now.
I'm feeling inconsolable today,I'm giving you a virtual hug right now.
I'm feeling melancholy today,I'm giving you a virtual hug right now.
I'm feeling miserable today,I'm giving you a virtual hug right now.
I'm feeling out,I'm giving you a virtual hug right now.
I'm feeling sad,I'm giving you a virtual hug right now.
I'm feeling sad today,I'm giving you a virtual hug right now.
I'm feeling glum today,I'm giving you a virtual hug right now.
I'm feeling blue,I'm giving you a virtual hug right now.
I'm despondent today,I'm giving you a virtual hug right now.
I'm down,I'm giving you a virtual hug right now.
I'm down today,I'm giving you a virtual hug right now.
I'm downcast,I'm giving you a virtual hug right now.
I'm downcast today,I'm giving you a virtual hug right now.
I'm downhearted,I'm giving you a virtual hug right now.
I'm feeling down today,I'm giving you a virtual hug right now.
I'm feeling a little down today,I'm giving you a virtual hug right now.
I'm feeling down,I'm giving you a virtual hug right now.
I'm feeling blue today,I'm giving you a virtual hug right now.
I'm feeling broken hearted,I'm giving you a virtual hug right now.
I'm feeling broken hearted today,I'm giving you a virtual hug right now.
I'm feeling bummed today,I'm giving you a virtual hug right now.
I'm feeling dejected,I'm giving you a virtual hug right now.
I'm feeling dejected today,I'm giving you a virtual hug right now.
I feel inconsolable today,I'm giving you a virtual hug right now.
I'm downhearted today,I'm giving you a virtual hug right now.
I am usually bummed out,I'm giving you a virtual hug right now.
I am in despair,I'm giving you a virtual hug right now.
I am inconsolable,I'm giving you a virtual hug right now.
I am melancholy,I'm giving you a virtual hug right now.
I am miserable,I'm giving you a virtual hug right now.
I am sad,I'm giving you a virtual hug right now.
I am so utterly bummed out,I'm giving you a virtual hug right now.
I feel melancholy today,I'm giving you a virtual hug right now.
I am unhappy,I'm giving you a virtual hug right now.
I am feeling broken hearted,I'm giving you a virtual hug right now.
I am usually sad,I'm giving you a virtual hug right now.
I can't stand feeling so blue,I'm giving you a virtual hug right now.
I can't stand feeling so broken hearted,I'm giving you a virtual hug right now.
I can't stand feeling so dejected,I'm giving you a virtual hug right now.
I can't stand feeling so despairing,I'm giving you a virtual hug right now.
I can't stand feeling so despondent,I'm giving you a virtual hug right now.
I am the saddest person in the world,I'm giving you a virtual hug right now.
I am dejected,I'm giving you a virtual hug right now.
Depression is such a bummer,I'm giving you a virtual hug right now.
Depression is the worst,I'm giving you a virtual hug right now.
Every day I feel down,I'm giving you a virtual hug right now.
Feeling down is the worst,I'm giving you a virtual hug right now.
Being depressed is the worst,I'm giving you a virtual hug right now.
I am always sad,I'm giving you a virtual hug right now.
I am glum,I'm giving you a virtual hug right now.
I am broken hearted,I'm giving you a virtual hug right now.
I am gloomy,I'm giving you a virtual hug right now.
I am always depressed,I'm giving you a virtual hug right now.
I am despondent,I'm giving you a virtual hug right now.
I am down,I'm giving you a virtual hug right now.
I am down in the dumps,I'm giving you a virtual hug right now.
I am downcast,I'm giving you a virtual hug right now.
I am downhearted,I'm giving you a virtual hug right now.
I can't stand feeling so downhearted,I'm giving you a virtual hug right now.
I am blue,I'm giving you a virtual hug right now.
I feel downhearted today,I'm giving you a virtual hug right now.
I can't stand feeling so down,I'm giving you a virtual hug right now.
I feel despondent today,I'm giving you a virtual hug right now.
I feel down,I'm giving you a virtual hug right now.
I feel down in the dumps,I'm giving you a virtual hug right now.
I feel down today,I'm giving you a virtual hug right now.
I feel downcast,I'm giving you a virtual hug right now.
I feel dejected today,I'm giving you a virtual hug right now.
I feel downhearted,I'm giving you a virtual hug right now.
I feel dejected,I'm giving you a virtual hug right now.
I feel gloomy,I'm giving you a virtual hug right now.
I feel gloomy today,I'm giving you a virtual hug right now.
I feel glum,I'm giving you a virtual hug right now.
I feel glum today,I'm giving you a virtual hug right now.
I feel hopeless,I'm giving you a virtual hug right now.
I feel inconsolable,I'm giving you a virtual hug right now.
I'm full of sadness,I'm giving you a virtual hug right now.
I feel downcast today,I'm giving you a virtual hug right now.
I couldn't be more dejected,I'm giving you a virtual hug right now.
I feel melancholy,I'm giving you a virtual hug right now.
I can't stand feeling so gloomy,I'm giving you a virtual hug right now.
I can't stand feeling so glum,I'm giving you a virtual hug right now.
I can't stand feeling so inconsolable,I'm giving you a virtual hug right now.
I can't stand feeling so melancholy,I'm giving you a virtual hug right now.
I can't stand feeling so miserable,I'm giving you a virtual hug right now.
I feel despondent,I'm giving you a virtual hug right now.
I can't stand feeling so unhappy,I'm giving you a virtual hug right now.
I can't stand feeling so downcast,I'm giving you a virtual hug right now.
I feel blue,I'm giving you a virtual hug right now.
I feel blue today,I'm giving you a virtual hug right now.
I feel broken hearted,I'm giving you a virtual hug right now.
I feel broken hearted today,I'm giving you a virtual hug right now.
I feel bummed,I'm giving you a virtual hug right now.
I feel bummed out,I'm giving you a virtual hug right now.
I feel bummy today,I'm giving you a virtual hug right now.
I can't stand feeling so sad,I'm giving you a virtual hug right now.
I hate feeling despondent,I'm giving you a virtual hug right now.
When will I ever stop feeling so unhappy?,I'm giving you a virtual hug right now.
I hate feeling sad,I'm giving you a virtual hug right now.
I hate feeling unhappy,I'm giving you a virtual hug right now.
I hate feeling miserable,I'm giving you a virtual hug right now.
I hate feeling blue,I'm giving you a virtual hug right now.
I hate feeling gloomy,I'm giving you a virtual hug right now.
Today has made me sad,I'm giving you a virtual hug right now.
I hate feeling downhearted,I'm giving you a virtual hug right now.
When will I ever stop feeling so melancholy?,I'm giving you a virtual hug right now.
I hate feeling glum,I'm giving you a virtual hug right now.
I hate feeling melancholy,I'm giving you a virtual hug right now.
I hate feeling like I'm in despair,I'm giving you a virtual hug right now.
I hate feeling dejected,I'm giving you a virtual hug right now.
I hate feeling inconsolable,I'm giving you a virtual hug right now.
I hate feeling like I'm broken hearted,I'm giving you a virtual hug right now.
I hate feeling downcast,I'm giving you a virtual hug right now.
When will I ever stop feeling so despondent?,I'm giving you a virtual hug right now.
I'm feeling unhappy today,I'm giving you a virtual hug right now.
Today is just a little sad,I'm giving you a virtual hug right now.
Today made me sad,I'm giving you a virtual hug right now.
What can I say? I'm just feeling sad,I'm giving you a virtual hug right now.
When will I ever stop feeling so blue?,I'm giving you a virtual hug right now.
When will I ever stop feeling so broken hearted?,I'm giving you a virtual hug right now.
When will I ever stop feeling so sad?,I'm giving you a virtual hug right now.
When will I ever stop feeling so despairing?,I'm giving you a virtual hug right now.
When will I ever stop feeling so miserable?,I'm giving you a virtual hug right now.
When will I ever stop feeling so down?,I'm giving you a virtual hug right now.
When will I ever stop feeling so downcast?,I'm giving you a virtual hug right now.
When will I ever stop feeling so downhearted?,I'm giving you a virtual hug right now.
When will I ever stop feeling so gloomy?,I'm giving you a virtual hug right now.
When will I ever stop feeling so glum?,I'm giving you a virtual hug right now.
When will I ever stop feeling so inconsolable?,I'm giving you a virtual hug right now.
I feel depressed,I'm giving you a virtual hug right now.
When will I ever stop feeling so dejected?,I'm giving you a virtual hug right now.
Today is just a little depressed,I'm giving you a virtual hug right now.
I am usually depressed,I'm giving you a virtual hug right now.
"Listen, I'm just depressed",I'm giving you a virtual hug right now.
My life is just depressing,I'm giving you a virtual hug right now.
My life is so depressed,I'm giving you a virtual hug right now.
My whole life is depressing,I'm giving you a virtual hug right now.
Sometimes I just feel depressed,I'm giving you a virtual hug right now.
Lately I've been so depressed,I'm giving you a virtual hug right now.
Today has made me depressed,I'm giving you a virtual hug right now.
I've been depressed all day,I'm giving you a virtual hug right now.
This week has been depressing,I'm giving you a virtual hug right now.
Today made me depressed,I'm giving you a virtual hug right now.
What can I say? I'm just feeling depressed,I'm giving you a virtual hug right now.
When will I ever stop feeling so depressed?,I'm giving you a virtual hug right now.
I feel so melancholy,I'm giving you a virtual hug right now.
My life makes me sad,I'm giving you a virtual hug right now.
I have no life,I'm giving you a virtual hug right now.
This week has made me depressed,I'm giving you a virtual hug right now.
I'm depressed,I'm giving you a virtual hug right now.
Today has been depressing,I'm giving you a virtual hug right now.
I feel depressed today,I'm giving you a virtual hug right now.
I hate being depressed,I'm giving you a virtual hug right now.
I hate feeling depressed,I'm giving you a virtual hug right now.
I hate feeling depressed constantly,I'm giving you a virtual hug right now.
I hate feeling depressed every day,I'm giving you a virtual hug right now.
Life is so depressing,I'm giving you a virtual hug right now.
I wish I could stop feeling depressed,I'm giving you a virtual hug right now.
I can't stand feeling so depressed,I'm giving you a virtual hug right now.
I'm depressed today,I'm giving you a virtual hug right now.
I'm feeling depressed,I'm giving you a virtual hug right now.
I'm feeling depressed today,I'm giving you a virtual hug right now.
I'm just feeling a bit depressed today,I'm giving you a virtual hug right now.
I'm really depressed,I'm giving you a virtual hug right now.
I'm so depressed,I'm giving you a virtual hug right now.
I'm tired of feeling so depressed all the time,I'm giving you a virtual hug right now.
Depressing day today,I'm giving you a virtual hug right now.
I'm tired of feeling so downcast all the time,I'm giving you a virtual hug right now.
I'm sad today,I'm giving you a virtual hug right now.
I'm so sad,I'm giving you a virtual hug right now.
I'm tired of feeling so blue all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so broken hearted all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so dejected all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so despairing all the time,I'm giving you a virtual hug right now.
Today has me feeling blue,I'm giving you a virtual hug right now.
I'm tired of feeling so down all the time,I'm giving you a virtual hug right now.
I'm out of sorts,I'm giving you a virtual hug right now.
I'm tired of feeling so downhearted all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so gloomy all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so glum all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so inconsolable all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so melancholy all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so miserable all the time,I'm giving you a virtual hug right now.
I'm tired of feeling so despondent all the time,I'm giving you a virtual hug right now.
I'm inconsolable today,I'm giving you a virtual hug right now.
My life is sad,I'm giving you a virtual hug right now.
I'm gloomy,I'm giving you a virtual hug right now.
I'm gloomy today,I'm giving you a virtual hug right now.
I'm glum,I'm giving you a virtual hug right now.
I'm glum today,I'm giving you a virtual hug right now.
I'm heartbroken,I'm giving you a virtual hug right now.
I'm sad,I'm giving you a virtual hug right now.
I'm in despair today,I'm giving you a virtual hug right now.
I'm really sad,I'm giving you a virtual hug right now.
I'm inconsolable,I'm giving you a virtual hug right now.
I'm just feeling a bit sad today,I'm giving you a virtual hug right now.
I'm melancholy,I'm giving you a virtual hug right now.
I'm melancholy today,I'm giving you a virtual hug right now.
I'm miserable today,I'm giving you a virtual hug right now.
I'm miserable,I'm giving you a virtual hug right now.
I'm unhappy,I'm giving you a virtual hug right now.
I'm in despair,I'm giving you a virtual hug right now.
My life is so sad,I'm giving you a virtual hug right now.
I'm tired of feeling so sad all the time,I'm giving you a virtual hug right now.
Life always sucks,I'm giving you a virtual hug right now.
Life is depressing,I'm giving you a virtual hug right now.
Life is heartbreaking,I'm giving you a virtual hug right now.
Life is miserable,I'm giving you a virtual hug right now.
Life is sad,I'm giving you a virtual hug right now.
Lately I've been so sad,I'm giving you a virtual hug right now.
my life is depressing,I'm giving you a virtual hug right now.
Lately I've been so miserable,I'm giving you a virtual hug right now.
My spirits are terrible,I'm giving you a virtual hug right now.
